SMILES,IZ
Cc1ccc(C)c(NS(=O)(=O)c2ccc(NC(=O)c3cn(CCO)c4c(cc(O)c5ncccc54)c3=O)cc2)c1,11
Cc1cc(SCc2nnc(-c3ccc(Br)cc3)n2N)nc(SCc2nnc(-c3ccc(Br)cc3)n2N)n1,25
Cc1cc(C)c2c(n1)nn1c(N)c(C(=O)Nc3ccc4c(c3)C(=O)c3ccccc3C4=O)nnc21,21
O=C(Nc1ccc(S(=O)(=O)Nc2cccc([N+](=O)[O-])c2)cc1)c1cn(CCO)c2c(cc(O)c3ncccc32)c1=O,7
CCOC(=O)c1cn(Cc2ccc(C#N)cc2)c2cc(C(F)(F)F)ccc2c1=O,8
COC(=O)c1c(C)nc(C)c2c1C(=O)C(Cl)=C(N)C2=O,0
CCCc1nnc2sc3cc4ccccc4c-3nn12,16.3
O=C(c1cccnc1Nc1nc2c(Cl)cccc2s1)N1CCN(CCO)CC1,9
O=[N+]([O-])c1ccc(-c2csc(N3N=C(c4ccccc4)CC3c3ccc(-c4ccc(Cl)cc4)o3)n2)cc1,11
Cc1cc(Sc2nc3ccccc3s2)nc(SCc2nc3ccccc3s2)n1,16
NC(=O)c1cc(-c2csc(-c3cc(Cl)cc(Cl)c3Cl)n2)ccc1O,16
COc1ccc(NC(=O)Nc2ccc(-c3nc(Oc4cccc(C)c4)c4ccccc4n3)cc2)cc1,26
Fc1ccccc1-c1cccc(-c2n[nH]c(=S)o2)c1,21
O=C1N/C(=N\c2ccccc2[N+](=O)[O-])S/C1=C\c1ccccc1[N+](=O)[O-],13
c1ccc(-c2nnc(NC34CC5CC(CC(C5)C3)C4)s2)cc1,10
Cc1nn(C(=O)c2[nH]nc(-c3ccc(Cl)cc3)c2N)c(C)c1Cl,13
Fc1ccc(-c2csc3nc(-c4cc(F)c(Cl)cc4Cl)nn23)cc1,28
Fc1cc(-c2nc3scc(-c4ccc(Cl)cc4)n3n2)c(Cl)cc1Cl,31
CC(C)C1/C(=N/OC(=O)Oc2ccccc2)CC(c2ccccc2)N(C)C1c1ccccc1,22
Cc1ccc(-c2csc(Nc3cc(-c4ccc(C)cc4)n(-c4nc(-c5ccc(C)cc5)cs4)n3)n2)cc1,11
Cc1ccc(NC(=S)NC(=O)c2cn(CCO)c3c(cc(Cl)c4ncccc43)c2=O)cc1,0
Cc1cc(C)cc(-c2nn3c(=O)c4c5c(sc4nc3s2)CCCC5)c1,18
O=C1NC(=S)/C(=C/c2c(Cl)cccc2Cl)S1,7
O=C1CC(c2ccccc2)N(Cc2ccccc2)C2CCCCC2N1,6
Cc1ccc2[nH]c(-c3ccccc3)c(-c3cc(-c4ccc(Cl)cc4)nc4nc[nH]c(=O)c34)c2c1,8
C[C@]12CC[C@H](O)[C@@](C)(C(=O)O)[C@@H]1CCc1cc3[nH]c4ccccc4c3cc12,15
